"Sig","min","max","q1","q3","iqr","median","outlier_low_threshold","outlier_high_threshold","outliers","experimental_pval"
"DBS1",0,0.369254833333333,0,0.0856987049129659,0.0856987049129659,0.057201375,-0.128548057369449,0.214246762282415,"0.369254833333333|0.279925606660467|0.273285189440432|0.272547333333333|0.269558|0.25547475|0.263551728037356",0.49
"DBS10",0,1,0.0834566736213895,0.586410541666667,0.502953868045277,0.309116346889456,-0.670974128446526,1.34084134373458,"",0.2
"DBS11",0,0,0,0,0,0,0,0,"",1
"DBS12",0,0,0,0,0,0,0,0,"",1
"DBS13",0,0.162019180168265,0,0,0,0,0,0,"0.035854|0.0555620879635073|0.020830168402514|0.10850725|0.047018|0.01713275|0.0149599179133265|0.15935275|0.00680383333333333|0.0248885833333333|0.0549765|0.162019180168265|0.092619|0.120430666666667",0.93
"DBS14",0,0.0998130833333333,0,0.0432458125,0.0432458125,0.00543904166666667,-0.06486871875,0.10811453125,"",0.79
"DBS15",0,0.1450695,0,0,0,0,0,0,"0.0820488264959311|0.0607601666666667|0.00300483308293058|0.08544125|0.0323565|0.00505491708790976|0.0011615|0.0339218333333333|0.0393415|0.0339813333333333|0.090034|0.087442923953577|0.0387808333333333|0.0131840010986668|0.059144|0.12097615658532|0.1450695|0.0176685014723751|0.03526425|0.0775578333333333",0.91
"DBS16",0,0.339445416666667,0,0.01232525,0.01232525,0,-0.018487875,0.030813125,"0.296739391938384|0.307608083333333|0.208212899315592|0.0826439166666667|0.20534775|0.211699166666667|0.06478125|0.218464018205335|0.2351475|0.0968345833333333|0.1578175|0.106760166666667|0.322589583333333|0.0721889226824102|0.21291875|0.1755945|0.130817583333333|0.0477357539779795|0.110863166666667|0.0371564135702989|0.0588436617630282|0.0718709226559102|0.117562083333333|0.339445416666667",0.78
"DBS17",0,0,0,0,0,0,0,0,"",1
"DBS18",0,0,0,0,0,0,0,0,"",1
"DBS19",0,0.20903925,0,0.00175135416666667,0.00175135416666667,0,-0.00262703125,0.00437838541666667,"0.09729725|0.02543775|0.0762755|0.0404829966264169|0.0204569166666667|0.0920138333333333|0.0224199185349932|0.0299429191619099|0.170911833333333|0.157127|0.047689|0.0633721666666667|0.17218525|0.0212541666666667|0.01359725|0.050799|0.00700541666666667|0.20903925|0.11280324059973|0.0784350833333333|0.0554821712901809|0.0973115|0.0764879936260005|0.0688728333333333|0.12853875",0.84
"DBS2",0,0.322013666666667,0,0.16544419815473,0.16544419815473,0.0718346636558232,-0.248166297232095,0.413610495386825,"",0.38
"DBS20",0,0,0,0,0,0,0,0,"",1
"DBS3",0,0.959618333333333,0.228782902322767,0.591557916666667,0.3627750143439,0.414431975669491,-0.315379619193083,1.13572043818252,"",0.16
"DBS4",0,0,0,0,0,0,0,0,"",1
"DBS5",0,0,0,0,0,0,0,0,"",1
"DBS6",0,0,0,0,0,0,0,0,"",1
"DBS7",0,0,0,0,0,0,0,0,"",1
"DBS8",0,0,0,0,0,0,0,0,"",1
"DBS9",0,0.0860701666666667,0,0,0,0,0,0,"0.0230135833333333|0.0317030859752572|0.0860701666666667|0.00383691634692364|0.041311",0.99
