"Method","Sig","Type","Contribution","ContributionRelative"
"QP","DBS1","optimal",0.970446,0.0808705
"QP","DBS10","optimal",4.145858,0.345488166666667
"QP","DBS11","optimal",0,0
"QP","DBS12","optimal",0,0
"QP","DBS13","optimal",0,0
"QP","DBS14","optimal",0.18366,0.015305
"QP","DBS15","optimal",0,0
"QP","DBS16","optimal",0,0
"QP","DBS17","optimal",0,0
"QP","DBS18","optimal",0,0
"QP","DBS19","optimal",0,0
"QP","DBS2","optimal",1.023346,0.0852788333333333
"QP","DBS20","optimal",0,0
"QP","DBS3","optimal",5.67669,0.4730575
"QP","DBS4","optimal",0,0
"QP","DBS5","optimal",0,0
"QP","DBS6","optimal",0,0
"QP","DBS7","optimal",0,0
"QP","DBS8","optimal",0,0
"QP","DBS9","optimal",0,0
