"Method","Sig","Type","Contribution","ContributionRelative"
"QP","DBS1","Rep_1",0.962692,0.0802243333333333
"QP","DBS10","Rep_1",1.622652,0.135221
"QP","DBS11","Rep_1",0,0
"QP","DBS12","Rep_1",0,0
"QP","DBS13","Rep_1",0,0
"QP","DBS14","Rep_1",0.118595,0.00988291666666667
"QP","DBS15","Rep_1",0,0
"QP","DBS16","Rep_1",0,0
"QP","DBS17","Rep_1",0,0
"QP","DBS18","Rep_1",0,0
"QP","DBS19","Rep_1",1.167567,0.09729725
"QP","DBS2","Rep_1",1.047144,0.087262
"QP","DBS20","Rep_1",0,0
"QP","DBS3","Rep_1",7.08135,0.5901125
"QP","DBS4","Rep_1",0,0
"QP","DBS5","Rep_1",0,0
"QP","DBS6","Rep_1",0,0
"QP","DBS7","Rep_1",0,0
"QP","DBS8","Rep_1",0,0
"QP","DBS9","Rep_1",0,0
"QP","DBS1","Rep_2",2.024296,0.168691319275723
"QP","DBS10","Rep_2",1.65158,0.137631655197362
"QP","DBS11","Rep_2",0,0
"QP","DBS12","Rep_2",0,0
"QP","DBS13","Rep_2",0,0
"QP","DBS14","Rep_2",0,0
"QP","DBS15","Rep_2",0.984586,0.0820488264959311
"QP","DBS16","Rep_2",3.560873,0.296739391938384
"QP","DBS17","Rep_2",0,0
"QP","DBS18","Rep_2",0,0
"QP","DBS19","Rep_2",0,0
"QP","DBS2","Rep_2",0.867123,0.072260243978313
"QP","DBS20","Rep_2",0,0
"QP","DBS3","Rep_2",2.911543,0.242628563114286
"QP","DBS4","Rep_2",0,0
"QP","DBS5","Rep_2",0,0
"QP","DBS6","Rep_2",0,0
"QP","DBS7","Rep_2",0,0
"QP","DBS8","Rep_2",0,0
"QP","DBS9","Rep_2",0,0
"QP","DBS1","Rep_3",0,0
"QP","DBS10","Rep_3",0,0
"QP","DBS11","Rep_3",0,0
"QP","DBS12","Rep_3",0,0
"QP","DBS13","Rep_3",0,0
"QP","DBS14","Rep_3",1.068767,0.0890639166666667
"QP","DBS15","Rep_3",0,0
"QP","DBS16","Rep_3",0.168483,0.01404025
"QP","DBS17","Rep_3",0,0
"QP","DBS18","Rep_3",0,0
"QP","DBS19","Rep_3",0.305253,0.02543775
"QP","DBS2","Rep_3",2.382548,0.198545666666667
"QP","DBS20","Rep_3",0,0
"QP","DBS3","Rep_3",8.074949,0.672912416666667
"QP","DBS4","Rep_3",0,0
"QP","DBS5","Rep_3",0,0
"QP","DBS6","Rep_3",0,0
"QP","DBS7","Rep_3",0,0
"QP","DBS8","Rep_3",0,0
"QP","DBS9","Rep_3",0,0
"QP","DBS1","Rep_4",0,0
"QP","DBS10","Rep_4",7.20241,0.600200833333333
"QP","DBS11","Rep_4",0,0
"QP","DBS12","Rep_4",0,0
"QP","DBS13","Rep_4",0,0
"QP","DBS14","Rep_4",0,0
"QP","DBS15","Rep_4",0,0
"QP","DBS16","Rep_4",0,0
"QP","DBS17","Rep_4",0,0
"QP","DBS18","Rep_4",0,0
"QP","DBS19","Rep_4",0,0
"QP","DBS2","Rep_4",0.793421,0.0661184166666667
"QP","DBS20","Rep_4",0,0
"QP","DBS3","Rep_4",4.004169,0.33368075
"QP","DBS4","Rep_4",0,0
"QP","DBS5","Rep_4",0,0
"QP","DBS6","Rep_4",0,0
"QP","DBS7","Rep_4",0,0
"QP","DBS8","Rep_4",0,0
"QP","DBS9","Rep_4",0,0
"QP","DBS1","Rep_5",0,0
"QP","DBS10","Rep_5",0,0
"QP","DBS11","Rep_5",0,0
"QP","DBS12","Rep_5",0,0
"QP","DBS13","Rep_5",0,0
"QP","DBS14","Rep_5",0,0
"QP","DBS15","Rep_5",0.729122,0.0607601666666667
"QP","DBS16","Rep_5",3.691297,0.307608083333333
"QP","DBS17","Rep_5",0,0
"QP","DBS18","Rep_5",0,0
"QP","DBS19","Rep_5",0.915306,0.0762755
"QP","DBS2","Rep_5",2.228829,0.18573575
"QP","DBS20","Rep_5",0,0
"QP","DBS3","Rep_5",4.435446,0.3696205
"QP","DBS4","Rep_5",0,0
"QP","DBS5","Rep_5",0,0
"QP","DBS6","Rep_5",0,0
"QP","DBS7","Rep_5",0,0
