"Sig","min","max","q1","q3","iqr","median","outlier_low_threshold","outlier_high_threshold","outliers","experimental_pval"
"SBS1",0.0324589554209378,0.0468873531852593,0.0382686901287478,0.0424454977287377,0.00417680759998988,0.0404963337415738,0.032003478728763,0.0487107091287226,"",1
"SBS10a",0.225247122003452,0.257830717624373,0.236672541293342,0.247270545136209,0.010598003842867,0.242215772010892,0.220775535529042,0.26316755090051,"",0
"SBS10b",0.291497974039106,0.321422157732356,0.304345033025373,0.312419190615358,0.00807415758998503,0.308383386837295,0.292233796640395,0.324530427000335,"0.291497974039106",0
"SBS10c",0,0,0,0,0,0,0,0,"",1
"SBS10d",0,0,0,0,0,0,0,0,"",1
"SBS11",0,0,0,0,0,0,0,0,"",1
"SBS12",0,0,0,0,0,0,0,0,"",1
"SBS13",0,0,0,0,0,0,0,0,"",1
"SBS14",0.017838829542448,0.0425083040493637,0.0274989308485824,0.0323538438867623,0.00485491303817986,0.0298512433100615,0.0202165612913126,0.0396362134440321,"0.0425083040493637|0.017838829542448",1
"SBS15",0.0468655639028153,0.0782408313150791,0.0561143798914082,0.0636183513932602,0.00750397150185199,0.0595723510196835,0.0448584226386302,0.0748743086460382,"0.0782408313150791",0.03
"SBS16",0,0,0,0,0,0,0,0,"",1
"SBS17a",0,0,0,0,0,0,0,0,"",1
"SBS17b",0.028635369841882,0.0429430911718429,0.0326638949672194,0.0371705312743641,0.00450663630714465,0.0351172716970825,0.0259039405065025,0.0439304857350811,"",1
"SBS18",0,0,0,0,0,0,0,0,"",1
"SBS19",0,0,0,0,0,0,0,0,"",1
"SBS2",0,0,0,0,0,0,0,0,"",1
"SBS20",0,0,0,0,0,0,0,0,"",1
"SBS21",0.0149113020451146,0.0305565543409608,0.0213004076170709,0.026153527822896,0.00485312020582505,0.0240927988063319,0.0140207273083334,0.0334332081316336,"",1
"SBS22a",0,0,0,0,0,0,0,0,"",1
"SBS22b",0,0,0,0,0,0,0,0,"",1
"SBS23",0,0,0,0,0,0,0,0,"",1
"SBS24",0,0,0,0,0,0,0,0,"",1
"SBS25",0,0,0,0,0,0,0,0,"",1
"SBS26",0,0,0,0,0,0,0,0,"",1
"SBS27",0,0,0,0,0,0,0,0,"",1
"SBS28",0.0769048375686005,0.107405661396066,0.087650190416506,0.0948409085789653,0.0071907181624593,0.0905978860709395,0.076864113172817,0.105626985822654,"0.107405661396066",0
"SBS29",0,0,0,0,0,0,0,0,"",1
"SBS3",0,0,0,0,0,0,0,0,"",1
"SBS30",0,0,0,0,0,0,0,0,"",1
"SBS31",0,0.0088447559576672,0,0.000365143116074668,0.000365143116074668,0,-0.000547714674112003,0.000912857790186671,"0.00480687890474354|0.00113031538766913|0.0049115305815794|0.00372032094070804|0.00221277855765523|0.00226663285751896|0.00205895480138835|0.00219381712336195|0.00108764789818743|0.0088447559576672|0.00577140879290397|0.0011279614346317|0.0020775257232609|0.00393312649471139|0.00407264488946045|0.0015404283067427|0.00137787736212881|0.00297641750890678",1
"SBS32",0,0,0,0,0,0,0,0,"",1
"SBS33",0.00174686509807222,0.0163194858465098,0.00642364668350213,0.0104679031627675,0.00404425647926537,0.00833664998039562,0.000357261964604079,0.0165342878816655,"",1
"SBS34",0,0,0,0,0,0,0,0,"",1
"SBS35",0,0,0,0,0,0,0,0,"",1
"SBS36",0,0,0,0,0,0,0,0,"",1
"SBS37",0.0333820608561512,0.0750728960277671,0.0488285127815925,0.0591733418048592,0.0103448290232668,0.0535923457020385,0.0333112692466923,0.0746905853397594,"0.0750728960277671",0.31
"SBS38",0,0,0,0,0,0,0,0,"",1
"SBS39",0,0,0,0,0,0,0,0,"",1
"SBS4",0,0,0,0,0,0,0,0,"",1
"SBS40a",0,0,0,0,0,0,0,0,"",1
"SBS40b",0,0,0,0,0,0,0,0,"",1
"SBS40c",0,0,0,0,0,0,0,0,"",1
"SBS41",0,0,0,0,0,0,0,0,"",1
"SBS42",0,0,0,0,0,0,0,0,"",1
