"Method","Sig","Type","Contribution","ContributionRelative"
"QP","SBS1","Rep_1",503.12067,0.0388060678780413
"QP","SBS10a","Rep_1",2966.703325,0.228824012744221
"QP","SBS10b","Rep_1",3961.733372,0.305571413212925
"QP","SBS10c","Rep_1",0,0
"QP","SBS10d","Rep_1",0,0
"QP","SBS11","Rep_1",0,0
"QP","SBS12","Rep_1",0,0
"QP","SBS13","Rep_1",0,0
"QP","SBS14","Rep_1",374.515963,0.0288866920963275
"QP","SBS15","Rep_1",856.131434,0.0660340481346729
"QP","SBS16","Rep_1",0,0
"QP","SBS17a","Rep_1",0,0
"QP","SBS17b","Rep_1",441.379924,0.034043958660551
"QP","SBS18","Rep_1",0,0
"QP","SBS19","Rep_1",0,0
"QP","SBS2","Rep_1",0,0
"QP","SBS20","Rep_1",0,0
"QP","SBS21","Rep_1",386.226094,0.0297899031260925
"QP","SBS22a","Rep_1",0,0
"QP","SBS22b","Rep_1",0,0
"QP","SBS23","Rep_1",0,0
"QP","SBS24","Rep_1",0,0
"QP","SBS25","Rep_1",0,0
"QP","SBS26","Rep_1",0,0
"QP","SBS27","Rep_1",0,0
"QP","SBS28","Rep_1",1183.158122,0.0912578574694375
"QP","SBS29","Rep_1",0,0
"QP","SBS3","Rep_1",0,0
"QP","SBS30","Rep_1",0,0
"QP","SBS31","Rep_1",0,0
"QP","SBS32","Rep_1",0,0
"QP","SBS33","Rep_1",169.37344,0.0130638981884353
"QP","SBS34","Rep_1",0,0
"QP","SBS35","Rep_1",0,0
"QP","SBS36","Rep_1",0,0
"QP","SBS37","Rep_1",549.94298,0.0424175071378648
"QP","SBS38","Rep_1",0,0
"QP","SBS39","Rep_1",0,0
"QP","SBS4","Rep_1",0,0
"QP","SBS40a","Rep_1",0,0
"QP","SBS40b","Rep_1",0,0
"QP","SBS40c","Rep_1",0,0
"QP","SBS41","Rep_1",0,0
"QP","SBS42","Rep_1",0,0
"QP","SBS43","Rep_1",17.714572,0.00136633798699316
"QP","SBS44","Rep_1",0,0
"QP","SBS45","Rep_1",0,0
"QP","SBS46","Rep_1",822.675083,0.0634535351379447
"QP","SBS47","Rep_1",0,0
"QP","SBS48","Rep_1",54.50082,0.00420368839214838
"QP","SBS49","Rep_1",0,0
"QP","SBS5","Rep_1",0,0
"QP","SBS50","Rep_1",0,0
"QP","SBS51","Rep_1",0,0
"QP","SBS52","Rep_1",0,0
"QP","SBS53","Rep_1",0,0
"QP","SBS54","Rep_1",94.481282,0.00728741087599594
"QP","SBS55","Rep_1",0,0
"QP","SBS56","Rep_1",309.94304,0.0239061349806329
"QP","SBS57","Rep_1",235.928631,0.0181973490951174
"QP","SBS58","Rep_1",0,0
"QP","SBS59","Rep_1",0,0
"QP","SBS6","Rep_1",0,0
"QP","SBS60","Rep_1",0,0
"QP","SBS7a","Rep_1",0,0
"QP","SBS7b","Rep_1",0,0
"QP","SBS7c","Rep_1",4.21005,0.000324724257641706
"QP","SBS7d","Rep_1",0,0
"QP","SBS8","Rep_1",0,0
"QP","SBS84","Rep_1",0,0
"QP","SBS85","Rep_1",0,0
"QP","SBS86","Rep_1",0,0
"QP","SBS87","Rep_1",0,0
"QP","SBS88","Rep_1",33.261197,0.00256546062495684
"QP","SBS89","Rep_1",0,0
"QP","SBS9","Rep_1",0,0
"QP","SBS90","Rep_1",0,0
"QP","SBS91","Rep_1",0,0
"QP","SBS92","Rep_1",0,0
"QP","SBS93","Rep_1",0,0
"QP","SBS94","Rep_1",0,0
"QP","SBS95","Rep_1",0,0
"QP","SBS96","Rep_1",0,0
"QP","SBS97","Rep_1",0,0
"QP","SBS98","Rep_1",0,0
"QP","SBS99","Rep_1",0,0
"QP","SBS1","Rep_2",572.609642,0.0441658034708831
"QP","SBS10a","Rep_2",3195.453875,0.246467711145391
"QP","SBS10b","Rep_2",4034.339043,0.311171542074817
"QP","SBS10c","Rep_2",0,0
"QP","SBS10d","Rep_2",0,0
"QP","SBS11","Rep_2",0,0
"QP","SBS12","Rep_2",0,0
"QP","SBS13","Rep_2",0,0
"QP","SBS14","Rep_2",408.680683,0.0315218421133822
"QP","SBS15","Rep_2",639.322103,0.0493113847281141
"QP","SBS16","Rep_2",0,0
"QP","SBS17a","Rep_2",0,0
"QP","SBS17b","Rep_2",515.359831,0.0397500833783263
"QP","SBS18","Rep_2",0,0
"QP","SBS19","Rep_2",0,0
"QP","SBS2","Rep_2",0,0
"QP","SBS20","Rep_2",0,0
"QP","SBS21","Rep_2",347.686567,0.0268173210181257
"QP","SBS22a","Rep_2",0,0
"QP","SBS22b","Rep_2",0,0
"QP","SBS23","Rep_2",0,0
"QP","SBS24","Rep_2",0,0
"QP","SBS25","Rep_2",0,0
"QP","SBS26","Rep_2",0,0
"QP","SBS27","Rep_2",0,0
"QP","SBS28","Rep_2",1075.287585,0.0829377234863093
"QP","SBS29","Rep_2",0,0
"QP","SBS3","Rep_2",0,0
"QP","SBS30","Rep_2",0,0
"QP","SBS31","Rep_2",62.321185,0.00480687890474354
"QP","SBS32","Rep_2",0,0
"QP","SBS33","Rep_2",108.020298,0.0083316851523332
"QP","SBS34","Rep_2",0,0
"QP","SBS35","Rep_2",0,0
"QP","SBS36","Rep_2",0,0
"QP","SBS37","Rep_2",766.833972,0.05914646910914
"QP","SBS38","Rep_2",0,0
"QP","SBS39","Rep_2",0,0
"QP","SBS4","Rep_2",0,0
"QP","SBS40a","Rep_2",0,0
"QP","SBS40b","Rep_2",0,0
"QP","SBS40c","Rep_2",0,0
"QP","SBS41","Rep_2",0,0
"QP","SBS42","Rep_2",0,0
"QP","SBS43","Rep_2",16.324129,0.0012590920940995
"QP","SBS44","Rep_2",0,0
"QP","SBS45","Rep_2",0,0
"QP","SBS46","Rep_2",786.74312,0.0606820763594292
"QP","SBS47","Rep_2",0,0
"QP","SBS48","Rep_2",35.485876,0.00273705175472426
"QP","SBS49","Rep_2",0,0
"QP","SBS5","Rep_2",0,0
"QP","SBS50","Rep_2",0,0
"QP","SBS51","Rep_2",0,0
"QP","SBS52","Rep_2",0,0
"QP","SBS53","Rep_2",0,0
"QP","SBS54","Rep_2",181.162861,0.0139732249132279
"QP","SBS55","Rep_2",0,0
"QP","SBS56","Rep_2",0,0
"QP","SBS57","Rep_2",96.445952,0.0074389473197069
"QP","SBS58","Rep_2",0,0
"QP","SBS59","Rep_2",0,0
"QP","SBS6","Rep_2",0,0
"QP","SBS60","Rep_2",0,0
"QP","SBS7a","Rep_2",0,0
"QP","SBS7b","Rep_2",0,0
"QP","SBS7c","Rep_2",9.251237,0.000713554724257616
"QP","SBS7d","Rep_2",0,0
"QP","SBS8","Rep_2",0,0
"QP","SBS84","Rep_2",0,0
"QP","SBS85","Rep_2",0,0
"QP","SBS86","Rep_2",0,0
"QP","SBS87","Rep_2",0,0
"QP","SBS88","Rep_2",70.798187,0.00546071631315079
"QP","SBS89","Rep_2",0,0
"QP","SBS9","Rep_2",0,0
"QP","SBS90","Rep_2",0,0
"QP","SBS91","Rep_2",0,0
"QP","SBS92","Rep_2",0,0
"QP","SBS93","Rep_2",0,0
"QP","SBS94","Rep_2",0,0
"QP","SBS95","Rep_2",0,0
"QP","SBS96","Rep_2",42.873854,0.00330689193983802
"QP","SBS97","Rep_2",0,0
"QP","SBS98","Rep_2",0,0
"QP","SBS99","Rep_2",0,0
"QP","SBS1","Rep_3",489.296566,0.0377398045536244
"QP","SBS10a","Rep_3",3030.930457,0.233777898745374
"QP","SBS10b","Rep_3",4050.832486,0.312443693506552
"QP","SBS10c","Rep_3",0,0
"QP","SBS10d","Rep_3",0,0
"QP","SBS11","Rep_3",0,0
"QP","SBS12","Rep_3",0,0
"QP","SBS13","Rep_3",0,0
"QP","SBS14","Rep_3",361.41854,0.027876478212717
"QP","SBS15","Rep_3",777.177007,0.059944235021978
"QP","SBS16","Rep_3",0,0
"QP","SBS17a","Rep_3",0,0
"QP","SBS17b","Rep_3",477.365196,0.0368195291968237
"QP","SBS18","Rep_3",0,0
"QP","SBS19","Rep_3",0,0
"QP","SBS2","Rep_3",0,0
"QP","SBS20","Rep_3",0,0
"QP","SBS21","Rep_3",335.761703,0.0258975474759659
"QP","SBS22a","Rep_3",0,0
"QP","SBS22b","Rep_3",0,0
"QP","SBS23","Rep_3",0,0
"QP","SBS24","Rep_3",0,0
"QP","SBS25","Rep_3",0,0
